nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Rh-99m      3.29E-14    6.60E-16    2.25E-11    3.03E-12    1.47E-01    1.50E-03
Rn-218      4.06E-17    8.26E-19    0.00E+00    0.00E+00    1.19E+00    0.00E+00
Rn-219      2.69E-15    5.51E-17    0.00E+00    0.00E+00    6.30E+02    0.00E+00
Rn-220      1.93E-17    3.97E-19    0.00E+00    0.00E+00    4.49E+01    0.00E+00
Rn-222      1.96E-17    4.04E-19    0.00E+00    0.00E+00    7.55E-03    0.00E+00
Ru-103      2.25E-14    4.64E-16    2.42E-09    2.57E-10    7.35E-04    1.50E-03
Ru-105      3.81E-14    7.69E-16    1.23E-10    4.15E-12    1.56E-01    1.50E-03
Ru-106      1.04E-14    2.12E-16    1.29E-07    1.72E-09    7.84E-05    1.50E-03
Ru-94       2.54E-14    5.18E-16    3.10E-11    2.24E-12    8.03E-01    1.50E-03
Ru-97       1.09E-14    2.28E-16    1.22E-10    9.15E-12    9.96E-03    1.50E-03
S-35        2.43E-19    1.68E-20    8.15E-11    5.70E-11    3.30E-04    1.50E-03
Sb-115      4.32E-14    8.97E-16    7.04E-12    1.01E-12    1.31E+00    1.50E-03
Sb-116      1.08E-13    2.03E-15    6.27E-12    9.41E-13    2.63E+00    1.50E-03
Sb-116m     1.55E-13    3.01E-15    2.07E-11    5.51E-12    6.90E-01    1.50E-03
Sb-117      7.97E-15    1.77E-16    6.78E-12    9.84E-13    2.48E-01    1.50E-03
Sb-118m     1.27E-13    2.46E-15    7.09E-11    2.16E-11    1.39E-01    1.50E-03
Sb-119      2.16E-16    2.17E-17    3.19E-11    4.35E-12    1.82E-02    1.50E-03
Sb-120a     2.13E-14    4.47E-16    3.54E-12    2.97E-13    2.62E+00    1.50E-03
Sb-120b     1.22E-13    2.35E-15    6.14E-10    2.63E-10    5.01E-03    1.50E-03
Sb-122      2.13E-14    4.36E-16    6.28E-10    1.12E-10    1.07E-02    1.50E-03
Sb-124      9.15E-14    1.71E-15    1.50E-09    5.68E-10    4.80E-04    1.50E-03
Sb-124m     1.70E-14    3.47E-16    0.00E+00    0.00E+00    2.68E+01    1.50E-03
Sb-124n     1.70E-14    3.47E-16    2.21E-12    3.62E-13    2.06E+00    1.50E-03
Sb-125      2.02E-14    4.25E-16    5.75E-10    2.28E-10    2.86E-05    1.50E-03
Sb-126      1.37E-13    2.78E-15    1.27E-09    5.08E-10    2.33E-03    1.50E-03
Sb-126m     7.50E-14    1.52E-15    9.17E-12    1.13E-12    2.19E+00    1.50E-03
Sb-127      3.33E-14    6.76E-16    6.55E-10    1.50E-10    7.50E-03    1.50E-03
Sb-128a     9.69E-14    1.94E-15    4.75E-12    8.74E-13    4.00E+00    1.50E-03
Sb-128b     1.51E-13    3.02E-15    3.72E-10    5.20E-11    7.69E-02    1.50E-03
Sb-129      7.14E-14    1.38E-15    1.64E-10    2.07E-11    1.60E-01    1.50E-03
Sb-130      1.60E-13    3.16E-15    2.80E-11    4.53E-12    1.04E+00    1.50E-03
Sb-131      9.37E-14    1.76E-15    3.88E-11    5.78E-10    1.81E+00    1.50E-03
Sc-43       5.26E-14    1.08E-15    7.00E-11    4.28E-12    1.78E-01    1.50E-03
Sc-44       1.05E-13    2.07E-15    1.33E-10    8.57E-12    1.77E-01    1.50E-03
Sc-44m      1.35E-14    2.72E-16    2.05E-09    8.96E-11    1.18E-02    1.50E-03
Sc-46       9.98E-14    1.93E-15    8.01E-09    2.02E-09    3.45E-04    1.50E-03
Sc-47       5.14E-15    1.04E-16    4.98E-10    4.64E-12    8.62E-03    1.50E-03
Sc-48       1.68E-13    3.18E-15    1.11E-09    1.05E-10    1.59E-02    1.50E-03
Sc-49       1.93E-16    4.93E-18    2.75E-11    2.61E-14    7.25E-01    1.50E-03
Se-70       4.73E-14    9.81E-16    3.96E-11    5.10E-12    1.01E+00    1.50E-03
Se-73       5.16E-14    1.07E-15    1.24E-10    1.75E-11    9.69E-02    1.50E-03
Se-73m      1.17E-14    2.40E-16    1.25E-11    1.50E-12    1.07E+00    1.50E-03
Se-75       1.85E-14    3.77E-16    2.29E-09    8.39E-10    2.41E-04    1.50E-03
Se-77m      4.03E-15    8.18E-17    0.00E+00    0.00E+00    1.43E+02    1.50E-03
Se-79       3.03E-19    2.07E-20    2.66E-09    5.98E-10    1.22E-09    1.50E-03
Se-81       5.24E-16    1.13E-17    6.01E-12    9.26E-14    2.25E+00    1.50E-03
Se-81m      6.18E-16    1.34E-17    2.13E-11    6.08E-13    7.26E-01    1.50E-03
Se-83       1.21E-13    2.30E-15    1.27E-11    1.29E-12    1.85E+00    1.50E-03
Si-31       1.17E-16    3.01E-18    5.52E-11    1.19E-12    2.64E-01    1.50E-03
Si-32       5.24E-19    3.10E-20    1.41E-08    1.53E-09    1.76E-07    1.50E-03
Sm-141      6.87E-14    1.36E-15    8.29E-12    3.69E-13    4.08E+00    1.50E-03
Sm-141m     9.71E-14    1.91E-15    1.58E-11    1.03E-12    1.84E+00    1.50E-03
Sm-142      4.60E-14    9.61E-16    5.82E-11    1.15E-12    5.74E-01    1.50E-03
Sm-145      1.61E-15    6.84E-17    2.98E-09    7.46E-11    8.49E-05    1.50E-03
Sm-146      0.00E+00    0.00E+00    2.23E-05    0.00E+00    7.68E-13    1.50E-03
Sm-147      0.00E+00    0.00E+00    2.02E-05    0.00E+00    7.46E-16    1.50E-03
Sm-151      3.61E-20    5.03E-21    8.10E-09    1.32E-14    8.79E-07    1.50E-03
Sm-153      2.28E-15    6.22E-17    5.31E-10    1.51E-12    1.48E-02    1.50E-03
Sm-155      4.65E-15    1.02E-16    6.79E-12    3.70E-14    1.88E+00    1.50E-03
Sm-156      5.43E-15    1.17E-16    1.89E-10    6.33E-12    7.37E-02    1.50E-03
Sn-110      1.37E-14    2.93E-16    1.36E-10    9.15E-12    1.73E-01    1.50E-03
Sn-111      2.45E-14    4.92E-16    6.88E-12    5.55E-13    1.18E+00    1.50E-03
Sn-113      3.82E-16    2.13E-17    2.88E-09    2.27E-10    2.51E-04    1.50E-03
Sn-117m     6.82E-15    1.51E-16    1.17E-09    2.93E-11    2.12E-03    1.50E-03
Sn-119m     1.01E-16    1.04E-17    1.69E-09    5.45E-11    9.86E-05    1.50E-03
Sn-121      2.37E-18    1.05E-19    1.38E-10    8.47E-13    2.56E-02    1.50E-03
Sn-121m     6.02E-17    4.89E-18    3.11E-09    1.87E-10    1.44E-06    1.50E-03
Sn-123      4.03E-16    8.37E-18    8.79E-09    1.81E-10    2.24E-04    1.50E-03
Sn-123m     6.55E-15    1.35E-16    1.05E-11    2.68E-13    1.04E+00    1.50E-03
Sn-125      1.58E-14    3.01E-16    4.18E-09    7.62E-11    3.00E-03    1.50E-03
Sn-126      7.71E-14    1.57E-15    2.69E-08    4.90E-09    7.91E-10    1.50E-03
Sn-127      9.59E-14    1.80E-15    8.75E-11    6.41E-12    3.30E-01    1.50E-03
Sn-128      3.00E-14    6.57E-16    4.64E-11    3.94E-12    7.04E-01    1.50E-03
Sr-80       6.07E-14    1.25E-15    1.36E-10    1.30E-11    4.16E-01    1.50E-03
Sr-81       6.68E-14    1.37E-15    2.28E-11    2.48E-12    1.63E+00    1.50E-03
Sr-82       5.30E-14    1.09E-15    3.62E-09    1.21E-09    1.16E-03    1.50E-03
Sr-83       3.86E-14    7.71E-16    2.01E-10    5.80E-11    2.14E-02    1.50E-03
Sr-85       2.42E-14    5.00E-16    5.18E-10    3.63E-10    4.45E-04    1.50E-03
Sr-85m      1.05E-14    2.12E-16    2.25E-12    6.62E-13    5.98E-01    1.50E-03
Sr-87m      1.52E-14    3.15E-16    1.16E-11    2.11E-12    2.47E-01    1.50E-03
Sr-89       7.73E-17    2.27E-18    1.76E-09    4.16E-10    5.72E-04    1.50E-03
Sr-90       7.53E-18    2.84E-19    6.47E-08    2.64E-09    2.72E-06    1.50E-03
Sr-91       4.92E-14    9.79E-16    2.58E-10    4.11E-11    7.30E-02    1.50E-03
Sr-92       6.79E-14    1.25E-15    1.70E-10    2.19E-11    2.56E-01    1.50E-03
Ta-172      7.59E-14    1.48E-15    1.53E-11    1.30E-12    1.13E+00    1.50E-03
Ta-173      2.75E-14    5.68E-16    8.64E-11    3.08E-12    1.90E-01    1.50E-03
Ta-174      2.97E-14    6.09E-16    1.82E-11    7.52E-13    5.78E-01    1.50E-03
Ta-175      4.55E-14    8.79E-16    1.03E-10    8.91E-12    6.60E-02    1.50E-03
Ta-176      1.09E-13    1.97E-15    1.26E-10    1.34E-11    8.58E-02    1.50E-03
Ta-177      2.53E-15    6.57E-17    8.29E-11    1.81E-12    1.22E-02    1.50E-03
Ta-178a     4.61E-15    1.04E-16    0.00E+00    0.00E+00    4.47E+00    1.50E-03
Ta-178b     4.75E-14    1.00E-15    2.24E-11    2.01E-12    3.15E-01    1.50E-03
Ta-179      1.09E-15    3.16E-17    1.76E-09    8.57E-11    4.34E-05    1.50E-03
Ta-180      2.59E-14    5.45E-16    6.62E-08    5.80E-09    7.91E-18    1.50E-03
Ta-180m     1.71E-15    4.76E-17    2.52E-11    2.44E-13    8.56E-02    1.50E-03
Ta-182      6.40E-14    1.23E-15    1.21E-08    1.53E-09    2.51E-04    1.50E-03
Ta-182m     1.11E-14    2.41E-16    3.61E-12    2.03E-13    2.63E+00    1.50E-03
Ta-183      1.31E-14    2.83E-16    1.41E-09    1.77E-11    5.66E-03    1.50E-03
Ta-184      7.80E-14    1.57E-15    3.09E-10    1.30E-11    7.97E-02    1.50E-03
Ta-185      8.73E-15    1.89E-16    2.27E-11    1.61E-13    8.49E-01    1.50E-03
Ta-186      7.53E-14    1.53E-15    6.57E-12    2.99E-13    3.96E+00    1.50E-03
Tb-147      7.78E-14    1.54E-15    5.63E-11    4.61E-12    4.20E-01    1.50E-03
Tb-149      8.02E-14    1.53E-15    1.98E-09    7.13E-12    1.67E-01    1.50E-03
Tb-150      8.26E-14    1.62E-15    8.43E-11    5.07E-12    2.12E-01    1.50E-03
Tb-151      4.20E-14    8.73E-16    1.69E-10    1.28E-11    3.94E-02    1.50E-03
Tb-153      9.89E-15    2.25E-16    2.04E-10    8.54E-12    1.23E-02    1.50E-03
Tb-154      1.21E-13    2.13E-15    3.20E-10    3.36E-11    3.24E-02    1.50E-03
Tb-155      5.56E-15    1.38E-16    2.10E-10    8.45E-12    5.43E-03    1.50E-03
Tb-156      8.94E-14    1.74E-15    1.08E-09    1.38E-10    5.41E-03    1.50E-03
Tb-156m     7.75E-16    2.61E-17    2.06E-10    2.48E-11    2.84E-02    1.50E-03
Tb-156n     1.16E-16    3.68E-18    5.86E-11    5.29E-12    1.39E-01    1.50E-03
Tb-157      6.78E-17    2.67E-18    2.49E-09    2.67E-11    5.28E-07    1.50E-03
Tb-158      3.84E-14    7.72E-16    6.91E-08    7.74E-09    5.28E-07    1.50E-03
Tb-160      5.54E-14    1.08E-15    6.75E-09    6.54E-10    3.99E-04    1.50E-03
Tb-161      1.02E-15    3.47E-17    9.20E-10    1.93E-12    4.18E-03    1.50E-03
Tc-101      1.61E-14    3.28E-16    3.94E-12    2.31E-12    2.93E+00    1.50E-03
Tc-104      1.01E-13    1.85E-15    1.76E-11    1.34E-11    2.29E+00    1.50E-03
Tc-93       7.38E-14    1.35E-15    1.36E-11    2.23E-11    2.52E-01    1.50E-03
Tc-93m      3.73E-14    6.48E-16    6.44E-12    1.01E-11    9.56E-01    1.50E-03
Tc-94       1.30E-13    2.59E-15    5.68E-11    1.22E-10    1.42E-01    1.50E-03
Tc-94m      9.18E-14    1.79E-15    2.74E-11    4.63E-11    8.00E-01    1.50E-03
Tc-95       3.84E-14    7.72E-16    6.76E-11    1.41E-10    3.47E-02    1.50E-03
Tc-95m      3.23E-14    6.53E-16    1.05E-09    7.19E-10    4.73E-04    1.50E-03
Tc-96       1.22E-13    2.43E-15    6.42E-10    8.70E-10    6.75E-03    1.50E-03
Tc-96m      2.24E-15    4.72E-17    6.26E-12    8.86E-12    8.08E-01    1.50E-03
Tc-97       3.33E-17    6.48E-18    2.68E-10    1.17E-10    3.04E-11    1.50E-03
Tc-97m      4.64E-17    6.18E-18    1.32E-09    8.58E-10    3.32E-04    1.50E-03
Tc-98       6.86E-14    1.38E-15    6.18E-09    3.36E-09    1.88E-11    1.50E-03
Tc-99       1.62E-18    7.80E-20    2.25E-09    1.07E-09    3.71E-10    1.50E-03
Tc-99m      5.89E-15    1.21E-16    7.21E-12    2.09E-11    1.15E-01    1.50E-03
Te-116      2.29E-15    7.13E-17    6.11E-11    7.12E-12    2.78E-01    1.50E-03
Te-121      2.70E-14    5.70E-16    5.15E-10    1.56E-10    1.70E-03    1.50E-03
Te-121m     9.90E-15    2.10E-16    3.99E-09    7.30E-10    1.88E-04    1.50E-03
Te-123      2.15E-16    1.95E-17    1.31E-09    2.22E-12    7.91E-18    1.50E-03
Te-123m     6.51E-15    1.43E-16    2.86E-09    1.46E-10    2.41E-04    1.50E-03
Te-125m     4.53E-16    3.61E-17    1.97E-09    3.87E-11    4.98E-04    1.50E-03
Te-127      2.42E-16    5.18E-18    8.60E-11    1.84E-12    7.41E-02    1.50E-03
Te-127m     1.47E-16    1.13E-17    5.81E-09    9.66E-11    2.65E-04    1.50E-03
Te-129      2.75E-15    6.01E-17    2.09E-11    5.09E-13    5.98E-01    1.50E-03
Te-129m     3.34E-15    7.69E-17    6.48E-09    1.56E-10    8.60E-04    1.50E-03
Te-131      2.04E-14    4.10E-16    1.24E-10    2.66E-09    1.66E+00    1.50E-03
Te-131m     7.46E-14    1.46E-15    1.76E-09    3.67E-08    2.31E-02    1.50E-03
Te-132      1.03E-14    2.28E-16    2.55E-09    6.28E-08    8.86E-03    1.50E-03
Te-133      4.60E-14    8.94E-16    2.39E-11    5.91E-10    3.34E+00    1.50E-03
Te-133m     1.14E-13    2.22E-15    1.10E-10    2.63E-09    7.51E-01    1.50E-03
Te-134      4.24E-14    8.67E-16    3.23E-11    5.56E-10    9.95E-01    1.50E-03
Th-226      7.98E-16    1.68E-17    9.45E-09    9.18E-12    1.35E+00    1.50E-03
Th-227      4.88E-15    1.04E-16    4.37E-06    2.94E-09    1.54E-03    1.50E-03
Th-228      9.20E-17    2.35E-18    9.23E-05    2.30E-07    4.14E-05    1.50E-03
Th-229      3.83E-15    8.54E-17    4.67E-04    1.18E-06    1.08E-08    1.50E-03
Th-230      1.74E-17    7.50E-19    7.07E-05    1.72E-07    1.03E-09    1.50E-03
Th-231      5.22E-16    1.85E-17    2.37E-10    3.09E-13    2.72E-02    1.50E-03
Th-232      8.72E-18    5.51E-19    3.11E-04    5.99E-07    1.95E-14    1.50E-03
Th-234      1.06E-15    2.36E-17    9.47E-09    1.27E-11    1.20E-03    1.50E-03
Ti-44       5.53E-15    1.32E-16    2.75E-07    3.70E-08    1.67E-06    1.50E-03
Ti-45       4.18E-14    8.61E-16    5.69E-11    2.87E-12    2.25E-01    1.50E-03
Tl-194      3.70E-14    7.62E-16    2.49E-12    7.98E-13    1.26E+00    1.50E-03
Tl-194m     1.11E-13    2.27E-15    1.21E-11    2.75E-12    1.27E+00    1.50E-03
Tl-195      6.34E-14    1.18E-15    1.25E-11    4.09E-12    5.98E-01    1.50E-03
Tl-197      1.93E-14    3.91E-16    1.34E-11    4.64E-12    2.44E-01    1.50E-03
Tl-198      1.01E-13    1.87E-15    4.44E-11    2.24E-11    1.31E-01    1.50E-03
Tl-198m     5.69E-14    1.17E-15    2.89E-11    1.00E-11    3.71E-01    1.50E-03
Tl-199      1.13E-14    2.40E-16    1.88E-11    6.24E-12    9.34E-02    1.50E-03
Tl-200      6.42E-14    1.25E-15    1.27E-10    7.90E-11    2.66E-02    1.50E-03
Tl-201      3.78E-15    8.73E-17    6.34E-11    3.14E-11    9.49E-03    1.50E-03
Tl-202      2.18E-14    4.59E-16    2.66E-10    1.81E-10    2.36E-03    1.50E-03
Tl-204      5.59E-17    1.48E-18    6.50E-10    4.14E-10    2.09E-05    1.50E-03
Tl-206      6.73E-17    1.99E-18    0.00E+00    0.00E+00    9.90E+00    1.50E-03
Tl-207      1.62E-16    3.76E-18    0.00E+00    0.00E+00    8.72E+00    1.50E-03
Tl-208      1.77E-13    2.98E-15    0.00E+00    0.00E+00    1.35E+01    1.50E-03
Tl-209      1.02E-13    1.90E-15    0.00E+00    0.00E+00    1.89E+01    1.50E-03
Tm-162      9.01E-14    1.64E-15    5.93E-12    7.28E-13    1.92E+00    1.50E-03
Tm-166      9.35E-14    1.75E-15    1.02E-10    1.39E-11    9.00E-02    1.50E-03
Tm-167      6.06E-15    1.43E-16    7.97E-10    1.96E-11    3.13E-03    1.50E-03
Tm-170      2.23E-16    5.91E-18    7.11E-09    1.42E-10    2.25E-04    1.50E-03
Tm-171      2.15E-17    6.41E-19    2.47E-09    5.75E-11    4.12E-05    1.50E-03
Tm-172      2.41E-14    4.46E-16    1.32E-09    2.53E-11    1.09E-02    1.50E-03
Tm-173      1.85E-14    3.84E-16    1.30E-10    4.25E-12    8.41E-02    1.50E-03
Tm-175      5.13E-14    1.02E-15    6.26E-12    3.94E-13    2.74E+00    1.50E-03
U-230       4.11E-16    9.55E-18    5.27E-06    8.87E-10    1.39E-03    1.50E-03
U-231       2.95E-15    7.07E-17    3.22E-10    3.58E-12    6.88E-03    1.50E-03
U-232       1.42E-17    1.01E-18    1.78E-04    2.43E-08    1.10E-06    1.50E-03
U-233       1.63E-17    7.16E-19    3.66E-05    2.70E-09    4.99E-10    1.50E-03
U-234       7.63E-18    7.48E-19    3.58E-05    2.65E-09    3.24E-10    1.50E-03
U-235       7.20E-15    1.48E-16    3.32E-05    4.11E-09    1.12E-13    1.50E-03
U-236       5.01E-18    6.50E-19    3.39E-05    2.51E-09    2.32E-11    1.50E-03
U-237       5.97E-15    1.33E-16    9.54E-10    1.00E-11    4.28E-03    1.50E-03
U-238       3.41E-18    5.51E-19    3.20E-05    2.73E-09    1.77E-14    1.50E-03
U-239       2.17E-15    5.15E-17    1.01E-11    5.92E-14    1.77E+00    1.50E-03
U-240       1.62E-14    3.31E-16    6.13E-10    4.15E-12    4.92E-02    1.50E-03
V-47        4.79E-14    9.87E-16    1.54E-11    8.92E-13    1.28E+00    1.50E-03
V-48        1.45E-13    2.78E-15    2.76E-09    5.51E-10    1.78E-03    1.50E-03
V-49        0.00E+00    0.00E+00    9.33E-11    2.71E-12    8.75E-05    1.50E-03
W-176       7.02E-15    1.71E-16    2.88E-11    2.41E-12    3.01E-01    1.50E-03
W-177       4.26E-14    8.73E-16    1.76E-11    1.64E-12    3.08E-01    1.50E-03
W-178       5.07E-15    1.17E-16    7.32E-11    2.75E-12    1.33E-03    1.50E-03
W-179       1.83E-15    5.86E-17    9.47E-13    1.90E-14    1.11E+00    1.50E-03
W-181       1.40E-15    3.93E-17    4.09E-11    2.71E-12    2.38E-04    1.50E-03
W-185       5.37E-18    1.84E-19    2.03E-10    2.85E-15    3.85E-04    1.50E-03
W-187       2.28E-14    4.69E-16    1.67E-10    4.37E-12    2.90E-02    1.50E-03
W-188       9.04E-17    1.92E-18    1.11E-09    2.72E-12    4.16E-04    1.50E-03
Xe-120      1.94E-14    4.23E-16    0.00E+00    0.00E+00    1.04E+00    0.00E+00
Xe-121      9.14E-14    1.69E-15    0.00E+00    0.00E+00    1.04E+00    0.00E+00
Xe-122      4.81E-14    1.01E-15    0.00E+00    0.00E+00    3.45E-02    0.00E+00
Xe-123      3.03E-14    6.09E-16    0.00E+00    0.00E+00    3.33E-01    0.00E+00
Xe-125      1.19E-14    2.65E-16    0.00E+00    0.00E+00    4.08E-02    0.00E+00
Xe-127      1.25E-14    2.73E-16    0.00E+00    0.00E+00    7.93E-04    0.00E+00
Xe-129m     1.06E-15    5.29E-17    0.00E+00    0.00E+00    3.61E-03    0.00E+00
Xe-131m     3.89E-16    2.06E-17    0.00E+00    0.00E+00    2.43E-03    0.00E+00
Xe-133      1.56E-15    4.61E-17    0.00E+00    0.00E+00    5.51E-03    0.00E+00
Xe-133m     1.37E-15    4.07E-17    0.00E+00    0.00E+00    1.32E-02    0.00E+00
Xe-135      1.19E-14    2.42E-16    0.00E+00    0.00E+00    7.63E-02    0.00E+00
Xe-135m     2.04E-14    4.24E-16    0.00E+00    0.00E+00    2.72E+00    0.00E+00
Xe-138      5.77E-14    1.03E-15    0.00E+00    0.00E+00    2.93E+00    0.00E+00
Y-86        1.79E-13    3.39E-15    4.65E-10    4.32E-11    4.70E-02    1.50E-03
Y-86m       1.06E-14    2.13E-16    2.69E-11    2.44E-12    8.66E-01    1.50E-03
Y-87        2.15E-14    4.46E-16    4.74E-10    3.73E-11    8.63E-03    1.50E-03
Y-88        1.37E-13    2.47E-15    7.59E-09    2.62E-09    2.71E-04    1.50E-03
Y-90        1.90E-16    5.32E-18    2.28E-09    5.17E-13    1.08E-02    1.50E-03
Y-90m       3.01E-14    6.16E-16    1.27E-10    1.91E-12    2.17E-01    1.50E-03
Y-91        2.60E-16    5.74E-18    1.32E-08    8.50E-12    4.94E-04    1.50E-03
Y-91m       2.55E-14    5.23E-16    9.82E-12    5.02E-13    8.37E-01    1.50E-03
Y-92        1.30E-14    2.53E-16    2.11E-10    1.05E-12    1.96E-01    1.50E-03
Y-93        4.80E-15    9.12E-17    5.82E-10    9.26E-13    6.86E-02    1.50E-03
Y-94        5.62E-14    1.07E-15    1.89E-11    4.12E-13    2.18E+00    1.50E-03
Y-95        4.79E-14    7.99E-16    1.02E-11    2.79E-13    3.89E+00    1.50E-03
Yb-162      5.66E-15    1.33E-16    6.04E-12    5.55E-13    2.20E+00    1.50E-03
Yb-166      2.86E-15    8.61E-17    8.04E-10    6.04E-11    1.22E-02    1.50E-03
Yb-167      1.09E-14    2.60E-16    2.26E-12    8.14E-14    2.38E+00    1.50E-03
Yb-169      1.29E-14    3.04E-16    2.18E-09    8.57E-11    9.02E-04    1.50E-03
Yb-175      1.87E-15    3.91E-17    4.38E-10    2.12E-12    6.89E-03    1.50E-03
Yb-177      9.23E-15    1.80E-16    3.93E-11    3.94E-13    3.65E-01    1.50E-03
Yb-178      1.67E-15    3.47E-17    4.39E-11    1.89E-13    5.62E-01    1.50E-03
Zn-62       6.93E-14    1.43E-15    5.57E-10    2.94E-11    7.49E-02    1.50E-03
Zn-63       5.32E-14    1.09E-15    2.20E-11    8.27E-13    1.09E+00    1.50E-03
Zn-65       2.90E-14    5.53E-16    5.51E-09    3.02E-09    1.18E-04    1.50E-03
Zn-69       2.16E-17    7.18E-19    1.06E-11    2.77E-14    7.30E-01    1.50E-03
Zn-69m      1.99E-14    4.13E-16    2.31E-10    1.35E-11    5.04E-02    1.50E-03
Zn-71m      7.50E-14    1.53E-15    1.05E-10    8.13E-12    1.77E-01    1.50E-03
Zn-72       6.90E-15    1.41E-16    1.35E-09    2.28E-10    1.49E-02    1.50E-03
Zr-86       1.28E-14    2.69E-16    5.48E-10    5.60E-11    4.20E-02    1.50E-03
Zr-88       1.88E-14    3.91E-16    2.94E-09    9.95E-10    3.46E-04    1.50E-03
Zr-89       5.68E-14    1.13E-15    6.06E-10    7.94E-11    8.84E-03    1.50E-03
Zr-93       0.00E+00    0.00E+00    2.25E-08    4.45E-12    5.17E-11    1.50E-03
Zr-95       3.60E-14    7.23E-16    4.29E-09    7.82E-10    4.51E-04    1.50E-03
Zr-97       4.26E-14    8.48E-16    1.06E-09    3.75E-11    4.10E-02    1.50E-03
