nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Cd-115m     1.17E-15    2.34E-17    1.16E-08    1.05E-10    6.48E-04    1.50E-03
Cd-117      5.45E-14    1.03E-15    1.14E-10    3.61E-12    2.78E-01    1.50E-03
Cd-117m     1.05E-13    1.88E-15    1.05E-10    8.57E-12    2.06E-01    1.50E-03
Ce-134      3.40E-14    7.21E-16    2.21E-09    3.32E-11    9.63E-03    1.50E-03
Ce-135      8.54E-14    1.75E-15    4.29E-10    2.62E-11    3.94E-02    1.50E-03
Ce-137      8.81E-16    3.65E-17    1.13E-11    1.32E-13    7.70E-02    1.50E-03
Ce-137m     1.96E-15    5.31E-17    3.82E-10    1.29E-12    2.01E-02    1.50E-03
Ce-139      6.73E-15    1.56E-16    2.45E-09    1.66E-10    2.10E-04    1.50E-03
Ce-141      3.43E-15    7.38E-17    2.42E-09    2.55E-11    8.89E-04    1.50E-03
Ce-143      1.29E-14    2.79E-16    9.16E-10    6.23E-12    2.10E-02    1.50E-03
Ce-144      2.77E-15    5.77E-17    1.01E-07    2.92E-10    1.02E-04    1.50E-03
Cf-244      6.91E-18    1.14E-18    2.64E-09    1.20E-12    2.14E+00    1.50E-03
Cf-246      5.48E-18    7.88E-19    1.62E-07    3.50E-11    1.94E-02    1.50E-03
Cf-248      4.73E-18    7.74E-19    1.37E-05    1.40E-10    8.66E-05    1.50E-03
Cf-249      1.58E-14    3.28E-16    1.03E-04    1.08E-08    2.26E-07    1.50E-03
Cf-250      4.50E-18    7.37E-19    5.57E-05    2.28E-09    6.05E-06    1.50E-03
Cf-251      5.58E-15    1.22E-16    1.05E-04    3.76E-09    8.81E-08    1.50E-03
Cf-252      5.06E-18    7.22E-19    4.24E-05    3.20E-08    3.00E-05    1.50E-03
Cf-253      3.98E-18    1.25E-19    8.43E-07    6.49E-12    1.62E-03    1.50E-03
Cf-254      1.47E-20    2.40E-21    7.93E-05    1.24E-07    4.77E-04    1.50E-03
Cl-36       2.23E-17    6.73E-19    6.06E-10    5.04E-10    2.63E-10    1.50E-03
Cl-38       7.87E-14    1.34E-15    3.62E-11    3.85E-12    1.12E+00    1.50E-03
Cl-39       7.29E-14    1.35E-15    3.06E-11    4.60E-12    7.48E-01    1.50E-03
Cm-238      3.25E-15    7.10E-17    1.44E-09    2.03E-11    2.89E-01    1.50E-03
Cm-240      6.00E-18    1.05E-18    2.17E-06    7.93E-10    1.07E-03    1.50E-03
Cm-241      2.31E-14    4.85E-16    3.97E-08    1.84E-10    8.81E-04    1.50E-03
Cm-242      5.69E-18    9.56E-19    4.67E-06    9.41E-10    1.77E-04    1.50E-03
Cm-243      5.88E-15    1.25E-16    8.30E-05    3.83E-09    2.78E-06    1.50E-03
Cm-244      4.91E-18    8.78E-19    6.70E-05    1.01E-09    4.37E-06    1.50E-03
Cm-245      3.96E-15    8.70E-17    1.23E-04    3.68E-09    9.31E-09    1.50E-03
Cm-246      4.46E-18    7.85E-19    1.22E-04    2.26E-09    1.67E-08    1.50E-03
Cm-247      1.50E-14    3.10E-16    1.12E-04    1.45E-08    5.07E-12    1.50E-03
Cm-248      3.39E-18    6.00E-19    4.47E-04    4.71E-07    2.33E-10    1.50E-03
Cm-249      9.36E-16    1.94E-17    5.22E-11    2.05E-13    6.48E-01    1.50E-03
Cm-250      0.00E+00    0.00E+00    2.54E-03    3.71E-06    1.15E-08    1.50E-03
Co-55       9.78E-14    1.93E-15    5.65E-10    3.12E-11    3.95E-02    1.50E-03
Co-56       1.83E-13    3.29E-15    1.07E-08    2.91E-09    3.67E-04    1.50E-03
Co-57       5.61E-15    1.15E-16    2.45E-09    2.71E-10    1.07E-04    1.50E-03
Co-58       4.76E-14    9.50E-16    2.94E-09    8.72E-10    4.08E-04    1.50E-03
Co-58m      8.77E-20    9.32E-21    2.54E-11    4.69E-12    7.58E-02    1.50E-03
Co-60       1.26E-13    2.35E-15    5.91E-08    1.62E-08    1.50E-05    1.50E-03
Co-60m      2.17E-16    4.42E-18    5.74E-13    6.20E-14    3.97E+00    1.50E-03
Co-61       3.94E-15    9.02E-17    2.86E-11    1.71E-13    4.20E-01    1.50E-03
Co-62m      1.37E-13    2.52E-15    9.50E-12    6.45E-13    2.99E+00    1.50E-03
Cr-48       2.06E-14    4.23E-16    2.37E-10    4.68E-11    3.02E-02    1.50E-03
Cr-49       5.03E-14    1.04E-15    1.68E-11    8.32E-13    9.88E-01    1.50E-03
Cr-51       1.51E-15    3.08E-17    9.03E-11    1.08E-11    1.04E-03    1.50E-03
Cs-125      3.22E-14    6.69E-16    1.12E-11    1.71E-12    9.24E-01    1.50E-03
Cs-126      5.24E-14    1.09E-15    0.00E+00    0.00E+00    2.54E+01    1.50E-03
Cs-127      1.93E-14    4.14E-16    1.59E-11    7.08E-12    1.11E-01    1.50E-03
Cs-128      4.32E-14    8.94E-16    0.00E+00    0.00E+00    1.07E+01    1.50E-03
